Filename                                             Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
layer1/economy/apex_diet.rs                              128                15    88.28%           4                 0   100.00%          99                 6    93.94%           0                 0         -
layer1/economy/beacon.rs                                 145                 0   100.00%           7                 0   100.00%         122                 0   100.00%           0                 0         -
layer1/economy/black_market.rs                            47                 2    95.74%           4                 0   100.00%          32                 0   100.00%           0                 0         -
layer1/economy/deep_sleep_syndicates.rs                   54                 1    98.15%           3                 0   100.00%          46                 3    93.48%           0                 0         -
layer1/economy/existential_audit.rs                      120                10    91.67%           4                 0   100.00%         102                 7    93.14%           0                 0         -
layer1/economy/hauling.rs                               1075               298    72.28%          28                 5    82.14%         779               193    75.22%           0                 0         -
layer1/economy/ideological_contraband.rs                  71                 2    97.18%           3                 0   100.00%          65                 4    93.85%           0                 0         -
layer1/economy/inflation.rs                               76                 2    97.37%           4                 0   100.00%          68                 1    98.53%           0                 0         -
layer1/economy/inventory.rs                               61                 0   100.00%           7                 0   100.00%          44                 0   100.00%           0                 0         -
layer1/economy/items.rs                                  146                 5    96.58%           8                 0   100.00%         140                 5    96.43%           0                 0         -
layer1/economy/mod.rs                                    158                11    93.04%           9                 0   100.00%         117                 8    93.16%           0                 0         -
layer1/economy/photophobic.rs                            114                12    89.47%           6                 0   100.00%         100                 7    93.00%           0                 0         -
layer1/economy/refining.rs                               500                35    93.00%          21                 3    85.71%         505                42    91.68%           0                 0         -
layer1/economy/remittances.rs                            133                 5    96.24%           7                 2    71.43%         103                 9    91.26%           0                 0         -
layer1/economy/resources.rs                             1092               152    86.08%          66                 6    90.91%         968                97    89.98%           0                 0         -
layer1/economy/shadow_market.rs                          294                60    79.59%           9                 2    77.78%         224                53    76.34%           0                 0         -
layer1/economy/smugglers_cove.rs                         105                 0   100.00%           6                 0   100.00%          76                 0   100.00%           0                 0         -
layer1/economy/stockpile.rs                               90                 0   100.00%           8                 0   100.00%          95                 0   100.00%           0                 0         -
layer1/economy/trade.rs                                  440                83    81.14%          14                 0   100.00%         325                61    81.23%           0                 0         -
layer1/energy/auroral.rs                                  24                 1    95.83%           1                 0   100.00%          17                 0   100.00%           0                 0         -
layer1/energy/gravity_siphon.rs                          103                 3    97.09%           6                 0   100.00%          87                 2    97.70%           0                 0         -
layer1/energy/load_limits.rs                             162                 5    96.91%           6                 1    83.33%         125                 3    97.60%           0                 0         -
layer1/energy/mod.rs                                     483                35    92.75%          17                 0   100.00%         397                21    94.71%           0                 0         -
layer1/energy/phantom_grid.rs                             55                 3    94.55%           3                 0   100.00%          45                 4    91.11%           0                 0         -
layer1/energy/sky_tether.rs                               77                 7    90.91%           3                 0   100.00%          67                 6    91.04%           0                 0         -
layer1/entities/blob.rs                                  173                23    86.71%           6                 0   100.00%         155                12    92.26%           0                 0         -
layer1/entities/drone.rs                                 158                23    85.44%           6                 0   100.00%         138                16    88.41%           0                 0         -
layer1/entities/fauna_gen.rs                              69                 2    97.10%           4                 0   100.00%          78                 0   100.00%           0                 0         -
layer1/entities/mascot.rs                                256                48    81.25%           9                 0   100.00%         199                39    80.40%           0                 0         -
layer1/entities/pop.rs                                   805                76    90.56%          41                 6    85.37%         481                62    87.11%           0                 0         -
layer1/entities/pop_doppelganger.rs                      170                15    91.18%           8                 1    87.50%         123                 7    94.31%           0                 0         -
layer1/entities/swarm_intelligence.rs                    113                14    87.61%           6                 0   100.00%         104                16    84.62%           0                 0         -
layer1/entities/the_visitor.rs                           416                 5    98.80%          17                 0   100.00%         363                 1    99.72%           0                 0         -
layer1/entities/vermin.rs                                217                25    88.48%          12                 0   100.00%         170                16    90.59%           0                 0         -
layer1/entities/visitor.rs                               329                 9    97.26%          12                 0   100.00%         257                 4    98.44%           0                 0         -
layer1/entities/wild_child.rs                            155                 0   100.00%           6                 0   100.00%         113                 0   100.00%           0                 0         -
layer1/environment/artificial_sunspots.rs                251                 3    98.80%          12                 0   100.00%         181                 2    98.90%           0                 0         -
layer1/environment/bio_acoustic.rs                       138                 0   100.00%           5                 0   100.00%          94                 0   100.00%           0                 0         -
layer1/environment/bio_acoustic_miasma.rs                117                 2    98.29%           7                 0   100.00%          95                 2    97.89%           0                 0         -
layer1/environment/ephemeral_moons.rs                    146                 3    97.95%           6                 0   100.00%         106                 2    98.11%           0                 0         -
layer1/environment/geomes.rs                             103                 1    99.03%           3                 0   100.00%          78                 1    98.72%           0                 0         -
layer1/environment/geothermal.rs                         243                 7    97.12%           9                 0   100.00%         190                 4    97.89%           0                 0         -
layer1/environment/hazards.rs                             92                22    76.09%           4                 0   100.00%          74                16    78.38%           0                 0         -
layer1/environment/ignition.rs                           216                 2    99.07%           4                 0   100.00%         145                 1    99.31%           0                 0         -
layer1/environment/impact.rs                             158                 3    98.10%           5                 0   100.00%         128                 0   100.00%           0                 0         -
layer1/environment/light_pollution.rs                    121                 1    99.17%           7                 0   100.00%         105                 0   100.00%           0                 0         -
